,SKU,Date,Unit Sales,Dollar Sales
0,50012011250,2014-08-04,3,29.97
1,50012011250,2014-08-05,2,19.98
2,50012011250,2014-08-06,5,49.95
3,50012011250,2014-08-07,3,29.97
4,50012011250,2014-08-08,7,69.93
5,50012011250,2014-08-09,4,39.96
6,50012011250,2014-08-11,4,39.96
7,50012011250,2014-08-12,4,39.96
8,50012011250,2014-08-13,1,9.99
9,50012011250,2014-08-14,3,29.97
10,50012011250,2014-08-15,4,39.96
11,50012011250,2014-08-16,1,9.99
12,50012011250,2014-08-18,2,19.98
13,50012011250,2014-08-19,6,59.94
14,50012011250,2014-08-20,5,49.95
15,50012011250,2014-08-21,2,19.98
17,50012011250,2014-08-23,2,19.98
18,50012011250,2014-08-25,5,49.95
19,50012011250,2014-08-26,3,29.97
20,50012011250,2014-08-27,5,49.95
22,50012011250,2014-08-29,4,39.96
23,50012011250,2014-08-30,1,9.99
24,50012011250,2014-09-01,3,29.97
25,50012011250,2014-09-02,1,9.99
27,50012011250,2014-09-04,2,19.98
28,50012011250,2014-09-05,4,39.96
29,50012011250,2014-09-06,2,19.98
30,50012011250,2014-09-08,4,39.96
31,50012011250,2014-09-09,7,69.93
32,50012011250,2014-09-10,6,59.94
33,50012011250,2014-09-11,3,29.97
34,50012011250,2014-09-12,5,49.95
35,50012011250,2014-09-13,2,19.98
36,50012011250,2014-09-15,7,69.93
37,50012011250,2014-09-16,6,59.94
38,50012011250,2014-09-19,3,29.97
39,50012011250,2014-09-20,2,19.98
40,50012011250,2014-09-22,6,59.94
41,50012011250,2014-09-23,5,49.95
42,50012011250,2014-09-24,6,59.94
43,50012011250,2014-09-25,7,69.93
44,50012011250,2014-09-26,3,29.97
45,50012011250,2014-09-27,11,109.89
46,50012011250,2014-09-29,3,29.97
47,50012011250,2014-09-30,4,39.96
48,50012011250,2014-10-01,2,19.98
50,50012011250,2014-10-03,2,19.98
51,50012011250,2014-10-04,4,39.96
52,50012011250,2014-10-06,2,19.98
53,50012011250,2014-10-07,4,39.96
54,50012011250,2014-10-08,7,69.93
56,50012011250,2014-10-10,2,19.98
57,50012011250,2014-10-11,4,39.96
59,50012011250,2014-10-14,4,39.96
60,50012011250,2014-10-15,3,29.97
61,50012011250,2014-10-16,6,59.94
62,50012011250,2014-10-17,4,39.96
63,50012011250,2014-10-18,3,29.97
64,50012011250,2014-10-20,4,39.96
65,50012011250,2014-10-21,5,49.95
66,50012011250,2014-10-22,1,9.99
67,50012011250,2014-10-23,1,9.99
68,50012011250,2014-10-24,6,59.94
69,50012011250,2014-10-25,1,9.99
70,50012011250,2014-10-27,3,29.97
71,50012011250,2014-10-28,2,19.98
72,50012011250,2014-10-29,4,39.96
73,50012011250,2014-10-30,3,29.97
75,50012011250,2014-11-01,3,29.97
76,50012011250,2014-11-03,3,29.97
77,50012011250,2014-11-04,1,9.99
78,50012011250,2014-11-05,7,69.93
79,50012011250,2014-11-06,3,29.97
80,50012011250,2014-11-07,3,29.97
81,50012011250,2014-11-08,2,19.98
82,50012011250,2014-11-10,2,19.98
83,50012011250,2014-11-11,4,39.96
84,50012011250,2014-11-12,2,19.98
86,50012011250,2014-11-14,6,59.94
87,50012011250,2014-11-15,3,29.97
88,50012011250,2014-11-17,1,9.99
90,50012011250,2014-11-19,4,39.96
91,50012011250,2014-11-20,1,9.99
92,50012011250,2014-11-21,1,9.99
93,50012011250,2014-11-22,2,19.98
94,50012011250,2014-11-24,-2,-19.98
95,50012011250,2014-11-25,5,49.95
96,50012011250,2014-11-26,-3,-29.97
97,50012011250,2014-11-27,2,19.98
