,DB_ID,SKU,Store,Date,Unit Sales,Dollar Sales,Month,Year/Month,Week,Week of month,Period of month,Unit Cost,Profit,Day of the week
0,79444,50012011250,312,2014-08-04,3.0,29.97,8,2014-08,2014-31,1,Beginning,7.5,7.469999999999999,1
1,79445,50012011250,312,2014-08-05,2.0,19.98,8,2014-08,2014-31,1,Beginning,7.5,4.98,2
2,79446,50012011250,312,2014-08-06,5.0,49.95,8,2014-08,2014-31,1,Beginning,7.5,12.450000000000003,3
3,79447,50012011250,312,2014-08-07,3.0,29.97,8,2014-08,2014-31,1,Beginning,7.5,7.469999999999999,4
4,79448,50012011250,312,2014-08-08,7.0,69.93,8,2014-08,2014-31,1,Beginning,7.5,17.430000000000007,5
5,79449,50012011250,312,2014-08-09,4.0,39.96,8,2014-08,2014-31,1,Beginning,7.5,9.96,6
6,79450,50012011250,312,2014-08-11,4.0,39.96,8,2014-08,2014-32,2,Middle,7.5,9.96,1
7,79451,50012011250,312,2014-08-12,4.0,39.96,8,2014-08,2014-32,2,Middle,7.5,9.96,2
8,79452,50012011250,312,2014-08-13,1.0,9.99,8,2014-08,2014-32,2,Middle,7.5,2.49,3
9,79453,50012011250,312,2014-08-14,3.0,29.97,8,2014-08,2014-32,2,Middle,7.5,7.469999999999999,4
10,79454,50012011250,312,2014-08-15,4.0,39.96,8,2014-08,2014-32,2,Middle,7.5,9.96,5
11,79455,50012011250,312,2014-08-16,1.0,9.99,8,2014-08,2014-32,2,Middle,7.5,2.49,6
12,79456,50012011250,312,2014-08-18,2.0,19.98,8,2014-08,2014-33,3,Middle,7.5,4.98,1
13,79457,50012011250,312,2014-08-19,6.0,59.94,8,2014-08,2014-33,3,Middle,7.5,14.939999999999998,2
14,79458,50012011250,312,2014-08-20,5.0,49.95,8,2014-08,2014-33,3,Middle,7.5,12.450000000000003,3
15,79459,50012011250,312,2014-08-21,2.0,19.98,8,2014-08,2014-33,3,Middle,7.5,4.98,4
17,79461,50012011250,312,2014-08-23,2.0,19.98,8,2014-08,2014-33,3,Middle,7.5,4.98,6
18,79462,50012011250,312,2014-08-25,5.0,49.95,8,2014-08,2014-34,4,End,7.5,12.450000000000003,1
19,79463,50012011250,312,2014-08-26,3.0,29.97,8,2014-08,2014-34,4,End,7.5,7.469999999999999,2
20,79464,50012011250,312,2014-08-27,5.0,49.95,8,2014-08,2014-34,4,End,7.5,12.450000000000003,3
21,79465,50012011250,312,2014-08-28,3.0,29.97,8,2014-08,2014-34,4,End,7.5,7.469999999999999,4
22,79466,50012011250,312,2014-08-29,4.0,39.96,8,2014-08,2014-34,4,End,7.5,9.96,5
23,79467,50012011250,312,2014-08-30,1.0,9.99,8,2014-08,2014-34,4,End,7.5,2.49,6
24,79468,50012011250,312,2014-09-01,3.0,29.97,9,2014-09,2014-35,1,Beginning,7.5,7.469999999999999,1
25,79469,50012011250,312,2014-09-02,1.0,9.99,9,2014-09,2014-35,1,Beginning,7.5,2.49,2
27,79471,50012011250,312,2014-09-04,2.0,19.98,9,2014-09,2014-35,1,Beginning,7.5,4.98,4
28,79472,50012011250,312,2014-09-05,4.0,39.96,9,2014-09,2014-35,1,Beginning,7.5,9.96,5
29,79473,50012011250,312,2014-09-06,2.0,19.98,9,2014-09,2014-35,1,Beginning,7.5,4.98,6
