Week,2016 Sales,2017 Sales,Growth %
1,194,293,51.0
2,222,290,31.0
3,129,244,89.0
4,277,385,39.0
5,127,431,239.0
6,176,433,146.0
7,147,538,266.0
8,166,364,119.0
9,183,305,67.0
10,197,329,67.0
11,175,351,101.0
12,193,392,103.0
13,287,361,26.0
14,280,392,40.0
15,223,258,16.0
16,165,345,109.0
17,144,309,115.0
18,172,394,129.0
19,344,413,20.0
20,252,333,32.0
21,433,342,-21.0
22,274,291,6.0
23,192,457,138.0
24,261,475,82.0
25,283,498,76.0
26,348,586,68.0
27,219,410,87.0
28,285,355,25.0
29,290,370,28.0
30,160,392,145.0
31,281,428,52.0
32,395,417,6.0
33,293,441,51.0
34,235,277,18.0
35,264,410,55.0
36,204,341,67.0
37,411,419,2.0
38,383,465,21.0
39,440,380,-14.0
40,501,385,-23.0
41,319,336,5.0
42,273,492,80.0
43,271,521,92.0
44,293,536,83.0
45,320,631,97.0
46,345,455,32.0
47,356,399,12.0
48,142,417,194.0
49,354,439,24.0
50,228,477,109.0
51,295,458,55.0
52,385,485,26.0
